884.331,500,,,,,,852.07,500
922.519,500,,,,,,"21,133.48",1000
806.805,500,,,,,,"75,749.75",1500
797.689,500,,,,,,"232,915.53",2000
886.826,500,,,,,,"458,888.68",2500
867.803,500,,,,,,"822,368.15",3000
855.262,500,,,,,,,
849.34,500,,,,,,,
852.306,500,,,,,,,
797.805,500,,852.069,,,,,
"20,642.95",1000,,,,,,,
"24,332.25",1000,,,,,,,
"22,198.71",1000,,,,,,,
"20,076.36",1000,,,,,,,
"22,346.94",1000,,,,,,,
"20,730.36",1000,,,,,,,
"19,054.67",1000,,,,,,,
"21,704.18",1000,,,,,,,
"20,054.09",1000,,,,,,,
"20,194.34",1000,,"21,133.48",,,,,
"58,742.73",1500,,,,,,,
"71,553.35",1500,,,,,,,
"68,622.44",1500,,,,,,,
"76,852.73",1500,,,,,,,
"84,329.30",1500,,,,,,,
"78,462.30",1500,,,,,,,
"84,477.07",1500,,,,,,,
"82,025.92",1500,,,,,,,
"73,665.66",1500,,,,,,,
"78,766.02",1500,,"75,749.75",,,,,
"215,077.45",2000,,,,,,,
"223,680.76",2000,,,,,,,
"226,073.31",2000,,,,,,,
"225,239.45",2000,,,,,,,
"223,088.80",2000,,,,,,,
"235,227.92",2000,,,,,,,
"238,262.28",2000,,,,,,,
"242,005.99",2000,,,,,,,
"259,395.27",2000,,,,,,,
"241,104.08",2000,,"232,915.53",,,,,
"449,427.86",2500,,,,,,,
"452,872.77",2500,,,,,,,
"448,713.62",2500,,,,,,,
"459,131.48",2500,,,,,,,
"466,915.94",2500,,,,,,,
"447,733.41",2500,,,,,,,
"452,156.82",2500,,,,,,,
"462,699.43",2500,,,,,,,
"483,030.07",2500,,,,,,,
"466,205.44",2500,,"458,888.68",,,,,
"825,532.97",3000,,,,,,,
"817,679.97",3000,,,,,,,
"820,376.56",3000,,,,,,,
"828,824.65",3000,,,,,,,
"827,342.64",3000,,,,,,,
"832,674.65",3000,,,,,,,
"816,417.81",3000,,,,,,,
"817,734.47",3000,,,,,,,
"817,852.43",3000,,,,,,,
"819,245.35",3000,,"822,368.15",,,,,
